evaluation_index,dataset_id,mean_residual,residual_std,mae,rmse
3669,3669,0.13352260610266037,0.35958473107370365,0.3144120156556369,0.38273092280045423
3670,3670,0.05377268749983461,0.3894595804943559,0.3096828717371503,0.39218856808377317
3671,3671,-0.40712090408275686,0.2942281814840387,0.43268113405556974,0.5018812630559828
3672,3672,-0.1988881996806949,0.23387178003850576,0.24460726366459654,0.3065600192835251
3673,3673,0.266972068306437,0.3770647699818663,0.3298671778112072,0.46123858990059274
3674,3674,0.5248524511092663,0.3065672180609864,0.5249157222777017,0.6074402335449216
3675,3675,0.3539842253879835,0.35243885168772743,0.4555090161387736,0.4988956907827525
3676,3676,-0.23254527193559418,0.23951254094861285,0.28021916682143844,0.33340175387196463
3677,3677,-0.5728132460561565,0.46479425017077763,0.5870787231963734,0.7369318430996501
3678,3678,0.010386659431356407,0.30660955797221123,0.248916181663432,0.30601839263164915
3679,3679,1.2969701057474268,0.8322704225520564,1.453800960324619,1.5399162773268535
3680,3680,0.05348012648242621,0.3238669068030788,0.26174009617393,0.32745297125565903
3681,3681,-0.7815680722349118,0.44904053923080917,0.7875433325825232,0.9008206649385484
3682,3682,-0.07182460007452816,0.5012853924613438,0.35268848734897895,0.5051627288780456
3683,3683,-0.21776106872114412,0.7075558376001672,0.5437384826799644,0.738614899698103
3684,3684,0.5425728628989347,0.5866630360014932,0.5779776845454072,0.7980212790244274
3685,3685,-0.7600236302991599,0.5323350606606613,0.781326624478364,0.9271459606435553
3686,3686,0.5446940162100447,0.42350010628817963,0.5764952215353387,0.6893091828932771
3687,3687,-1.313188541220904,1.0622249716044156,1.383097403051124,1.6873483415235833
3688,3688,0.1575020341376291,0.2986978461154302,0.2647663335657791,0.33701808855774806
3689,3689,0.3160459580487232,0.37975585068103535,0.3778380693380874,0.49333404625545535
3690,3690,-0.07304829410854657,0.24686076592975284,0.2075072120069995,0.25684935242047197
3691,3691,-0.11668807153640139,0.29698590169928396,0.22459662862954713,0.31839555386025786
3692,3692,-0.12406440510841499,0.4266510255797917,0.32933088315828707,0.44329777661866465
3693,3693,0.27568102095578106,0.48498583657782335,0.40008301968474014,0.5568080734758678
3694,3694,-0.5667570910929268,0.3741925392041938,0.6110996417276781,0.6786262273285774
3695,3695,-0.16622590409451887,0.3101562557206256,0.283824651179399,0.35120787240588036
3696,3696,-0.20766491703714898,0.5259651373845912,0.39405035622671447,0.5642524673258575
3697,3697,-0.2086933839701801,0.35842957883381593,0.3682831274130538,0.4139834932470095
3698,3698,-0.5062603912822125,0.5137882629432013,0.5699365307790536,0.7203874450764117
3699,3699,0.7090131249635669,0.3414024520019965,0.7117544349212916,0.7865573516485708
3700,3700,0.20974325642070205,0.2355030889759122,0.24211020620774143,0.31492321287350483
3701,3701,0.22054665680706292,0.35728851992082483,0.3573170768733141,0.41911530497423977
3702,3702,0.21939486305992298,0.38897245720636053,0.3436838946090178,0.44573218477008203
3703,3703,0.5070774243492536,0.7353977596263088,0.6824333842767863,0.8917585602750053
3704,3704,0.03553727951113166,0.42034610332444183,0.2912955175138076,0.42079720838213086
3705,3705,-1.2415069843259492,0.6929325614707799,1.2481201363010157,1.4209483977973432
3706,3706,-0.37225275355586795,0.39738105731391943,0.44642945569170306,0.5437777659285956
3707,3707,0.3546043181872763,0.277975734024538,0.37600282466793905,0.4501426203327245
3708,3708,-0.006757252890904461,0.3079327368090703,0.23226847483226729,0.3072362576476972
3709,3709,-0.11507062911661066,0.31972170612323153,0.26393478714297575,0.3390458806781331
3710,3710,0.25391504616909744,0.4588815592533392,0.41494372357489817,0.5234427138347776
3711,3711,0.18919841609061616,0.320589713140356,0.2999171515442328,0.3715641478961023
3712,3712,-0.850947502676696,0.4949573808794441,0.861654428166548,0.9838036120864314
3713,3713,0.9497843800590838,0.6647527170399848,1.0207727266102382,1.1583510100751846
3714,3714,0.04598286946634107,0.2621085219223001,0.20214668226547403,0.26546524661870524
3715,3715,0.07516344131931715,0.5109989179015846,0.3985046088026033,0.5152318289246792
3716,3716,0.07013573736177149,0.3745251930035389,0.2706490193695901,0.38011418843374656
3717,3717,-0.7526283536296124,0.38014710587120526,0.7531652717781984,0.8427566088017128
3718,3718,-0.016003505982163255,0.4042312980720513,0.33167322443986064,0.4035369126028394
3719,3719,-0.13077585876325978,0.3491248863834918,0.2921591403959607,0.37199606260831936
3720,3720,-0.21666854334734467,0.6203141341493605,0.4729167307558575,0.6555996755464447
3721,3721,0.4170487549680304,0.6473782080788747,0.5917820078015953,0.7687214811583725
3722,3722,0.4106954717141359,0.22593190623677636,0.41839550647384255,0.4684664028625758
3723,3723,0.2447855844976796,0.4007601670493234,0.3555259290579136,0.4687490270003824
3724,3724,-0.321746273415421,0.1971235835791132,0.32580430311463116,0.3770730474639723
3725,3725,0.6115999851672096,0.2938992398439002,0.6176438532548504,0.6782325716311841
3726,3726,-0.9197729913803895,0.6424837238599007,0.9406459433217051,1.121027994485682
3727,3727,0.6693404868710744,0.5112077219163266,0.6798470725145492,0.8414531214731767
3728,3728,-0.3328437399076154,0.2732127199067061,0.3542424212668738,0.4301824259112806
3729,3729,-0.5586169418437815,0.5736429406501677,0.6494080859169471,0.7996710448402404
3730,3730,0.11463118185652635,0.31266281303417703,0.24518855487212185,0.33227932878076627
3731,3731,-0.11458538120934847,0.3483741837284397,0.2686145763381853,0.36590648889560035
3732,3732,-0.00016416509876139075,0.31951677142799506,0.23725625602276915,0.31871702078463027
3733,3733,0.09385859302034119,0.2812790772127371,0.24425310960022226,0.2958576772115585
3734,3734,-0.458371317523037,0.42715113517598097,0.518849675204019,0.6258195159537
3735,3735,0.32702895147139815,0.3193430966921162,0.3670480539264513,0.45652825590358337
3736,3736,0.18121310334900936,0.27049666546435164,0.259624792642911,0.32502429543431893
3737,3737,-0.15928959516135008,0.3586704813764594,0.30811353210514664,0.3916305232823839
3738,3738,-0.23193251398829362,0.3882000876248006,0.34693528838246407,0.4513740162400505
3739,3739,0.587050170310251,0.42945255730018206,0.6134080436422743,0.7267291475770754
3740,3740,0.24904212555020203,0.3725515087755321,0.34115161386637327,0.4473506833078869
3741,3741,-0.05656166782084884,0.634940077653772,0.513619581074968,0.6358713548876056
3742,3742,-0.23283152215915298,0.6935255823697136,0.5700929350654248,0.7299201068919752
3743,3743,0.10460547391301572,0.2902744902369598,0.2554843963290021,0.3078640746441225
3744,3744,-0.29207347373315024,0.4566239265888168,0.3906588888261377,0.5410820615583845
3745,3745,0.2049509133573277,0.4421456573264799,0.41222285908612705,0.48633341985432643
3746,3746,1.5250058023019089,1.0039994171160689,1.526739880318379,1.824449904074115
3747,3747,0.7046013433837611,0.5198157926464525,0.7127658026272669,0.874825965030438
3748,3748,-0.25543003287685984,0.452246491543165,0.41924205804472464,0.518409834361782
3749,3749,0.27081462710650434,0.38206313339717785,0.3846175761219026,0.4675285434779339
3750,3750,0.5844424851389415,0.590042770848427,0.6824827244745699,0.8294472481771934
3751,3751,-0.14753001257133225,0.46880398686378943,0.3955377813546457,0.49035027971663747
3752,3752,0.35224996696591376,0.22236849176154255,0.3577288630963606,0.41626980027999755
3753,3753,-0.14369571484345672,0.34316552606847844,0.2952255415503906,0.37124415666084004
3754,3754,-0.5398142088408785,0.592676957478384,0.5660374762080367,0.8005679397232371
3755,3755,-0.019034080253889397,0.2750982403053061,0.2222430319003617,0.2750689782965212
3756,3756,-0.48973017410937075,0.5968911251227771,0.5486287080237787,0.7709301288750346
3757,3757,-0.29024572410552496,0.37779160060898237,0.3433792079186621,0.4756631595833168
3758,3758,-0.8471324724667139,0.7104906476484348,0.8561670587849567,1.1044937308565768
3759,3759,0.18181393142011704,0.3335909319080039,0.28397431959576047,0.37918702636091495
3760,3760,0.044726856221433665,0.43460182478217896,0.35733987811947093,0.4358151489346516
3761,3761,-0.09350288800325395,0.32560926789908295,0.2581734490797799,0.337985322802658
3762,3762,-0.6088113218793348,0.4907817659156893,0.623821443899937,0.7812257251876752
3763,3763,-0.21025924870953763,0.2747177915841827,0.26988362049105435,0.3454004449269358
3764,3764,0.7051811764626222,0.37832962906882334,0.7094290736343595,0.7998113110774346
3765,3765,0.50604606706944,0.37931020207206334,0.5482551502721664,0.6318539944048924
3766,3766,-0.19012463051803064,0.3495681380959883,0.3226001884225756,0.3971577380407615
3767,3767,0.30707637194260523,0.4161376517414039,0.468293338623168,0.5163337977280772
3768,3768,0.10325203013022792,0.24564464427275984,0.1883291046953748,0.26589578133096575
3769,3769,-0.5367759589117785,0.45019831920346776,0.5846269833247009,0.6998525302134863
3770,3770,-0.920266156463519,0.8605251739804963,0.9398981008405517,1.2584477962597538
3771,3771,0.24958736604841328,0.38429746365507805,0.3649884491809594,0.45742755837383914
3772,3772,-0.41870960550217917,0.28881294532044505,0.44251406578810093,0.508245596673043
3773,3773,0.5648306402389506,0.4720415164894708,0.626536195213665,0.7353521125800713
3774,3774,-0.30304601382190854,0.8066885113983323,0.6502662989020124,0.8598427234926719
3775,3775,0.1207799556886108,0.336667618649939,0.28420236643451574,0.35688395553222396
3776,3776,-0.3686318818473566,0.453633448834057,0.44737216988874756,0.5836470283363903
3777,3777,-0.10318119700048638,0.2846764518178326,0.23537468688094812,0.3021288437454226
3778,3778,0.7341718948301963,0.7268158591389895,0.8676509525983143,1.031808295076672
3779,3779,0.13140361171459364,0.32739001319418715,0.2765854617678001,0.3520159212411184
3780,3780,-0.8241194464657133,0.369022561668985,0.8274585441752259,0.9025905078210106
3781,3781,0.011546626897357318,0.41173696875593957,0.326034932106548,0.41086861571046607
3782,3782,-0.33768710375809247,0.40322510314858806,0.4336979829055761,0.5251762670139163
3783,3783,0.3002157838313231,0.3466193206075625,0.37593949491702433,0.4579014582995032
3784,3784,0.05830528722723595,0.29635120944651583,0.24040613737899894,0.30130453973075333
3785,3785,-0.44824384280129065,0.3287401135437392,0.4648429332028963,0.5553847806257883
3786,3786,-0.08269754768506692,0.4003410624461487,0.32206090294074535,0.4078118265109933
3787,3787,-0.4982673591641442,0.44912487313459254,0.5579442875568631,0.6700559283509351
3788,3788,-0.31899027236439065,0.28443030799486707,0.36186620236669453,0.42690852763634596
3789,3789,-0.5047384655561734,0.36208479387545145,0.5257086157009675,0.6206535181387838
3790,3790,0.402798210247051,0.26369668778134636,0.42596403025155083,0.4810765652256885
3791,3791,0.3809430197042913,0.3932610307688093,0.46282670720520164,0.5468075999756804
3792,3792,0.9746630029435169,0.5804028640228972,0.9762902932805934,1.133645057524632
3793,3793,0.1817324494487436,0.26459180296208984,0.24955098941065212,0.3204457228087089
3794,3794,0.14426333450875575,0.35889517924751707,0.29173008784947513,0.38597102303444625
3795,3795,-0.44387881728297146,0.24966920535987702,0.4497645424636654,0.5089709647681652
3796,3796,1.0460376564553824,0.6932942617672907,1.0478508048032444,1.253973056909567
3797,3797,-0.5382499200576798,0.3964617048816887,0.5475862656483532,0.6679138795253513
3798,3798,-0.3017590314780591,0.39620997375037686,0.39151063081635556,0.49724837321137033
3799,3799,-0.1935860228335458,0.6264737362237741,0.41651299971684597,0.654203747852146
3800,3800,-0.09602978670775159,0.351379774244399,0.28903774271600957,0.363417290390043
3801,3801,-0.47111174969475245,0.29247999761748694,0.4760836004491701,0.5541327521106694
3802,3802,0.10372489320853402,0.42023512132320867,0.3441141412785711,0.4318256857560537
3803,3803,0.3693871052897839,0.29866476319465685,0.4009844492342522,0.47455397071841654
3804,3804,-0.34936111270275455,0.32474085799196256,0.3994608499770805,0.4764268346703573
3805,3805,-0.04050515985958681,0.23936932853000764,0.194812655815776,0.2421814506500299
3806,3806,-0.2939734152484535,0.4240775398628565,0.3774568119029903,0.5151338854025151
3807,3807,0.5353610081960437,0.3938791471030446,0.561435124039907,0.6640606054470429
3808,3808,0.06070959297731984,0.508630367914835,0.4019628992374143,0.5109764980787533
3809,3809,-0.07092235494380514,0.21481899804716387,0.1872803224226216,0.22571319488047775
3810,3810,-0.20588078988468006,0.2822140769927454,0.29792428417988626,0.3487598901395381
3811,3811,-0.8276129137326348,0.7563809053136101,0.8467866891483632,1.119908321484595
